Frecuencia (Hz)	Nivel (dB)
43,066406	-60,092575
86,132813	-56,959850
129,199219	-55,197803
172,265625	-53,948444
215,332031	-52,979401
258,398438	-52,187553
301,464844	-51,518101
344,531250	-50,938175
387,597656	-50,426647
430,664063	-49,969078
473,730469	-49,555149
516,796875	-49,177261
559,863281	-48,829639
602,929688	-48,507801
645,996094	-48,208164
689,062500	-47,927876
732,128906	-47,664585
775,195313	-47,416351
818,261719	-47,181538
861,328125	-46,958778
904,394531	-46,746883
947,460938	-46,544846
990,527344	-46,351799
1033,593750	-46,166962
1076,660156	-45,989677
1119,726563	-45,819344
1162,792969	-45,655437
1205,859375	-45,497498
1248,925781	-45,345093
1291,992188	-45,197865
1335,058594	-45,055458
1378,125000	-44,917576
1421,191406	-44,783936
1464,257813	-44,654285
1507,324219	-44,528393
1550,390625	-44,406052
1593,457031	-44,287056
1636,523438	-44,171238
1679,589844	-44,058430
1722,656250	-43,948475
1765,722656	-43,841236
1808,789063	-43,736584
1851,855469	-43,634392
1894,921875	-43,534550
1937,988281	-43,436951
1981,054688	-43,341496
2024,121094	-43,248096
2067,187500	-43,156662
2110,253906	-43,067116
2153,320313	-42,979374
2196,386719	-42,893372
2239,453125	-42,809040
2282,519531	-42,726315
2325,585938	-42,645138
2368,652344	-42,565449
2411,718750	-42,487194
2454,785156	-42,410328
2497,851563	-42,334793
2540,917969	-42,260555
2583,984375	-42,187561
2627,050781	-42,115776
2670,117188	-42,045158
2713,183594	-41,975670
2756,250000	-41,907276
2799,316406	-41,839943
2842,382813	-41,773636
2885,449219	-41,708328
2928,515625	-41,643986
2971,582031	-41,580585
3014,648438	-41,518093
3057,714844	-41,456490
3100,781250	-41,395752
3143,847656	-41,335846
3186,914063	-41,276756
3229,980469	-41,218464
3273,046875	-41,160938
3316,113281	-41,104168
3359,179688	-41,048130
3402,246094	-40,992802
3445,312500	-40,938175
3488,378906	-40,884224
3531,445313	-40,830936
3574,511719	-40,778294
3617,578125	-40,726284
3660,644531	-40,674885
3703,710938	-40,624088
3746,777344	-40,573883
3789,843750	-40,524250
3832,910156	-40,475174
3875,976563	-40,426651
3919,042969	-40,378658
3962,109375	-40,331200
4005,175781	-40,284245
4048,242188	-40,237797
4091,308594	-40,191841
4134,375000	-40,146362
4177,441406	-40,101357
4220,507813	-40,056816
4263,574219	-40,012722
4306,640625	-39,969074
4349,707031	-39,925861
4392,773438	-39,883072
4435,839844	-39,840702
4478,906250	-39,798740
4521,972656	-39,757183
4565,039063	-39,716015
4608,105469	-39,675240
4651,171875	-39,634838
4694,238281	-39,594810
4737,304688	-39,555149
4780,371094	-39,515846
4823,437500	-39,476894
4866,503906	-39,438290
4909,570313	-39,400028
4952,636719	-39,362095
4995,703125	-39,324497
5038,769531	-39,287216
5081,835938	-39,250252
5124,902344	-39,213604
5167,968750	-39,177261
5211,035156	-39,141216
5254,101563	-39,105473
5297,167969	-39,070019
5340,234375	-39,034855
5383,300781	-38,999973
5426,367188	-38,965378
5469,433594	-38,931057
5512,500000	-38,897011
5555,566406	-38,863235
5598,632813	-38,829708
5641,699219	-38,796417
5684,765625	-38,763332
5727,832031	-38,730446
5770,898438	-38,697773
5813,964844	-38,665382
5857,031250	-38,633369
5900,097656	-38,601845
5943,164063	-38,570789
5986,230469	-38,539974
6029,296875	-38,508938
6072,363281	-38,477253
6115,429688	-38,444988
6158,496094	-38,413086
6201,562500	-38,383076
6244,628906	-38,355740
6287,695313	-38,329609
6330,761719	-38,301052
6373,828125	-38,267368
6416,894531	-38,231049
6459,960938	-38,199711
6503,027344	-38,178558
6546,093750	-38,161354
6589,160156	-38,133263
6632,226563	-38,089401
6675,292969	-38,047779
6718,359375	-38,030506
6761,425781	-38,028263
6804,492188	-38,002434
6847,558594	-37,942749
6890,625000	-37,897812
6933,691406	-37,904449
6976,757813	-37,911938
7019,824219	-37,852337
7062,890625	-37,776489
7105,957031	-37,782635
7149,023438	-37,820004
7192,089844	-37,755611
7235,156250	-37,655289
7278,222656	-37,681580
7321,289063	-37,737186
7364,355469	-37,632236
7407,421875	-37,534359
7450,488281	-37,624146
7493,554688	-37,640778
7536,621094	-37,465054
7579,687500	-37,465805
7622,753906	-37,600334
7665,820313	-37,452690
7708,886719	-37,328671
7751,953125	-37,509888
7795,019531	-37,448261
7838,085938	-37,225540
7881,152344	-37,405361
7924,218750	-37,427132
7967,285156	-37,138416
8010,351563	-37,316158
8053,417969	-37,385136
8096,484375	-37,048492
8139,550781	-37,259796
8182,617188	-37,317646
8225,683594	-36,951031
8268,750000	-37,247269
8311,816406	-37,206181
8354,882813	-36,865963
8397,949219	-37,273621
8441,015625	-37,026344
8484,082031	-36,845139
8527,148438	-37,284489
8570,214844	-36,792431
8613,281250	-36,949150
8656,347656	-37,156891
8699,414063	-36,617691
8742,480469	-37,144619
8785,546875	-36,818733
8828,613281	-36,687862
8871,679688	-37,162552
8914,746094	-36,481285
8957,812500	-37,019302
9000,878906	-36,747528
9043,945313	-36,554562
9087,011719	-37,092632
9130,078125	-36,325996
9173,144531	-37,021824
9216,210938	-36,509430
9259,277344	-36,593605
9302,343750	-36,883003
9345,410156	-36,226887
9388,476563	-37,064255
9431,542969	-36,160851
9474,609375	-36,869839
9517,675781	-36,378834
9560,742188	-36,466446
9603,808594	-36,713043
9646,875000	-36,109322
9689,941406	-36,951851
9733,007813	-35,931961
9776,074219	-36,962406
9819,140625	-35,947533
9862,207031	-36,760506
9905,273438	-36,105278
9948,339844	-36,454678
9991,406250	-36,331501
10034,472656	-36,148552
10077,539063	-36,555805
10120,605469	-35,898643
10163,671875	-36,728710
10206,738281	-35,720345
10249,804688	-36,829559
10292,871094	-35,605797
10335,937500	-36,863106
10379,003906	-35,537701
10422,070313	-36,848682
10465,136719	-35,497265
10508,203125	-36,809174
10551,269531	-35,468128
10594,335938	-36,764141
10637,402344	-35,437958
10680,468750	-36,727314
10723,535156	-35,398842
10766,601563	-36,706360
10809,667969	-35,347332
10852,734375	-36,703194
10895,800781	-35,284504
10938,867188	-36,713680
10981,933594	-35,216202
11025,000000	-36,726551
11068,066406	-35,153393
11111,132813	-36,722145
11154,199219	-35,112339
11197,265625	-36,672741
11240,332031	-35,114067
11283,398438	-36,547386
11326,464844	-35,182503
11369,531250	-36,323154
11412,597656	-35,340206
11455,664063	-36,000248
11498,730469	-35,599632
11541,796875	-35,612240
11584,863281	-35,946709
11627,929688	-35,223801
11670,996094	-36,315266
11714,062500	-34,917442
11757,128906	-36,567013
11800,195313	-34,777470
11843,261719	-36,530060
11886,328125	-34,874401
11929,394531	-36,134430
11972,460938	-35,241165
12015,527344	-35,514118
12058,593750	-35,819927
12101,660156	-34,924610
12144,726563	-36,370972
12187,792969	-34,601521
12230,859375	-36,480465
12273,925781	-34,698368
12316,992188	-35,950771
12360,058594	-35,248180
12403,125000	-35,128349
12446,191406	-36,037914
12489,257813	-34,532875
12532,324219	-36,451496
12575,390625	-34,500004
12618,457031	-35,953060
12661,523438	-35,116573
12704,589844	-34,980167
12747,656250	-36,052811
12790,722656	-34,351299
12833,789063	-36,353760
12876,855469	-34,517471
12919,921875	-35,512081
12962,988281	-35,449253
13006,054688	-34,485832
13049,121094	-36,310047
13092,187500	-34,236477
13135,253906	-35,842083
13178,320313	-35,023155
13221,386719	-34,626167
13264,453125	-36,146214
13307,519531	-34,104965
13350,585938	-35,943169
13393,652344	-34,820339
13436,718750	-34,627628
13479,785156	-36,067265
13522,851563	-34,015747
13565,917969	-35,861694
13608,984375	-34,828171
13652,050781	-34,449242
13695,117188	-36,108269
13738,183594	-33,966736
13781,250000	-35,582466
13824,316406	-35,064682
13867,382813	-34,129951
13910,449219	-36,155251
13953,515625	-34,063385
13996,582031	-35,050137
14039,648438	-35,527199
14082,714844	-33,817188
14125,781250	-35,933697
14168,847656	-34,481686
14211,914063	-34,319050
14254,980469	-35,995960
14298,046875	-33,799797
14341,113281	-35,188171
14384,179688	-35,287270
14427,246094	-33,710922
14470,312500	-35,869785
14513,378906	-34,410400
14556,445313	-34,122849
14599,511719	-35,969978
14642,578125	-33,783310
14685,644531	-34,792454
14728,710938	-35,535156
14771,777344	-33,531197
14814,843750	-35,430878
14857,910156	-34,872757
14900,976563	-33,614983
14944,042969	-35,817078
14987,109375	-34,242764
15030,175781	-33,926483
15073,242188	-35,883839
15116,308594	-33,768238
15159,375000	-34,341953
15202,441406	-35,700397
15245,507813	-33,472515
15288,574219	-34,755322
15331,640625	-35,384747
15374,707031	-33,328133
15417,773438	-35,097736
15460,839844	-35,036469
15503,906250	-33,289181
15546,972656	-35,341705
15590,039063	-34,716732
15633,105469	-33,308975
15676,171875	-35,491455
15719,238281	-34,454437
15762,304688	-33,348465
15805,371094	-35,567368
15848,437500	-34,258667
15891,503906	-33,379089
15934,570313	-35,592514
15977,636719	-34,129272
16020,703125	-33,382641
16063,769531	-35,584480
16106,835938	-34,063744
16149,902344	-33,349964
16192,968750	-35,551788
16236,035156	-34,060867
16279,101563	-33,279812
16322,167969	-35,492931
16365,234375	-34,121719
16408,300781	-33,178482
16451,367188	-35,396931
16494,433594	-34,248459
16537,500000	-33,060326
16580,566406	-35,245380
16623,632813	-34,440811
16666,699219	-32,948635
16709,765625	-35,016788
16752,832031	-34,690128
16795,898438	-32,875881
16838,964844	-34,694492
16882,031250	-34,971375
16925,097656	-32,882118
16968,164063	-34,277988
17011,230469	-35,235004
17054,296875	-33,010056
17097,363281	-33,794689
17140,429688	-35,403843
17183,496094	-33,294956
17226,562500	-33,305965
17269,628906	-35,383236
17312,695313	-33,746872
17355,761719	-32,902382
17398,828125	-35,093830
17441,894531	-34,323944
17484,960938	-32,688377
17528,027344	-34,526333
17571,093750	-34,903652
17614,160156	-32,759201
17657,226563	-33,785629
17700,292969	-35,277618
17743,359375	-33,167862
17786,425781	-33,074272
17829,492188	-35,215599
17872,558594	-33,874119
17915,625000	-32,622097
17958,691406	-34,627502
18001,757813	-34,679615
18044,824219	-32,614647
18087,890625	-33,709431
18130,957031	-35,202610
18174,023438	-33,128059
18217,089844	-32,860291
18260,156250	-35,033894
18303,222656	-34,039509
18346,289063	-32,463337
18389,355469	-34,153507
18432,421875	-34,927845
18475,488281	-32,743114
18518,554688	-33,077019
18561,621094	-35,122768
18604,687500	-33,652225
18647,753906	-32,424839
18690,820313	-34,308846
18733,886719	-34,732697
18776,953125	-32,584438
18820,019531	-33,096603
18863,085938	-35,086601
18906,152344	-33,546288
18949,218750	-32,351147
18992,285156	-34,193230
19035,351563	-34,734619
19078,417969	-32,581295
19121,484375	-32,887447
19164,550781	-34,969616
19207,617188	-33,714035
19250,683594	-32,246651
19293,750000	-33,803249
19336,816406	-34,895573
19379,882813	-32,776855
19422,949219	-32,514969
19466,015625	-34,634598
19509,082031	-34,151081
19552,148438	-32,250961
19595,214844	-33,155735
19638,281250	-34,981007
19681,347656	-33,280613
19724,414063	-32,169918
19767,480469	-33,901161
19810,546875	-34,730831
19853,613281	-32,617954
19896,679688	-32,550823
19939,746094	-35,780022
19982,812500	-41,800312
20025,878906	-49,481758
20068,945313	-57,826721
20112,011719	-66,025352
20155,078125	-73,497879
20198,144531	-79,960693
20241,210938	-85,405960
20284,277344	-89,979401
20327,343750	-93,860153
20370,410156	-97,203522
20413,476563	-100,128395
20456,542969	-102,722435
20499,609375	-105,051773
20542,675781	-107,164192
20585,742188	-109,094955
20628,808594	-110,876244
20671,875000	-112,527771
20714,941406	-114,069534
20758,007813	-115,514473
20801,074219	-116,874649
20844,140625	-118,162407
20887,207031	-119,387268
20930,273438	-120,549355
20973,339844	-121,661522
21016,406250	-122,730072
21059,472656	-123,758148
21102,539063	-124,744751
21145,605469	-125,707253
21188,671875	-126,632782
21231,738281	-127,535805
21274,804688	-128,414902
21317,871094	-129,274185
21360,937500	-130,125809
21404,003906	-130,946304
21447,070313	-131,771774
21490,136719	-132,564636
21533,203125	-133,338974
21576,269531	-134,137573
21619,335938	-134,881134
21662,402344	-135,640732
21705,468750	-136,366684
21748,535156	-137,089096
21791,601563	-137,750366
21834,667969	-138,371887
21877,734375	-138,940811
21920,800781	-139,409119
21963,867188	-139,782837
22006,933594	-139,987808
