Frecuencia (Hz)	Nivel (dB)
43,066406	-7,559704
86,132813	-9,210448
129,199219	-11,217325
172,265625	-12,547726
215,332031	-13,552331
258,398438	-14,362918
301,464844	-15,043518
344,531250	-15,630610
387,597656	-16,146997
430,664063	-16,608040
473,730469	-17,024521
516,796875	-17,404354
559,863281	-17,753481
602,929688	-18,076521
645,996094	-18,377110
689,062500	-18,658186
732,128906	-18,922127
775,195313	-19,170906
818,261719	-19,406181
861,328125	-19,629335
904,394531	-19,841572
947,460938	-20,043894
990,527344	-20,237204
1033,593750	-20,422260
1076,660156	-20,599747
1119,726563	-20,770256
1162,792969	-20,934315
1205,859375	-21,092400
1248,925781	-21,244925
1291,992188	-21,392271
1335,058594	-21,534775
1378,125000	-21,672754
1421,191406	-21,806475
1464,257813	-21,936205
1507,324219	-22,062166
1550,390625	-22,184574
1593,457031	-22,303627
1636,523438	-22,419502
1679,589844	-22,532362
1722,656250	-22,642363
1765,722656	-22,749645
1808,789063	-22,854342
1851,855469	-22,956570
1894,921875	-23,056446
1937,988281	-23,154079
1981,054688	-23,249563
2024,121094	-23,342993
2067,187500	-23,434452
2110,253906	-23,524027
2153,320313	-23,611790
2196,386719	-23,697815
2239,453125	-23,782167
2282,519531	-23,864912
2325,585938	-23,946112
2368,652344	-24,025818
2411,718750	-24,104088
2454,785156	-24,180971
2497,851563	-24,256519
2540,917969	-24,330774
2583,984375	-24,403780
2627,050781	-24,475578
2670,117188	-24,546209
2713,183594	-24,615711
2756,250000	-24,684116
2799,316406	-24,751461
2842,382813	-24,817778
2885,449219	-24,883095
2928,515625	-24,947445
2971,582031	-25,010857
3014,648438	-25,073355
3057,714844	-25,134968
3100,781250	-25,195715
3143,847656	-25,255629
3186,914063	-25,314722
3229,980469	-25,373024
3273,046875	-25,430555
3316,113281	-25,487333
3359,179688	-25,543379
3402,246094	-25,598709
3445,312500	-25,653343
3488,378906	-25,707300
3531,445313	-25,760593
3574,511719	-25,813240
3617,578125	-25,865259
3660,644531	-25,916658
3703,710938	-25,967459
3746,777344	-26,017672
3789,843750	-26,067310
3832,910156	-26,116388
3875,976563	-26,164917
3919,042969	-26,212910
3962,109375	-26,260378
4005,175781	-26,307333
4048,242188	-26,353785
4091,308594	-26,399746
4134,375000	-26,445225
4177,441406	-26,490234
4220,507813	-26,534781
4263,574219	-26,578875
4306,640625	-26,622524
4349,707031	-26,665743
4392,773438	-26,708532
4435,839844	-26,750906
4478,906250	-26,792870
4521,972656	-26,834433
4565,039063	-26,875601
4608,105469	-26,916382
4651,171875	-26,956783
4694,238281	-26,996813
4737,304688	-27,036478
4780,371094	-27,075783
4823,437500	-27,114735
4866,503906	-27,153341
4909,570313	-27,191608
4952,636719	-27,229540
4995,703125	-27,267143
5038,769531	-27,304422
5081,835938	-27,341387
5124,902344	-27,378038
5167,968750	-27,414383
5211,035156	-27,450426
5254,101563	-27,486172
5297,167969	-27,521622
5340,234375	-27,556787
5383,300781	-27,591665
5426,367188	-27,626266
5469,433594	-27,660593
5512,500000	-27,694654
5555,566406	-27,728464
5598,632813	-27,762030
5641,699219	-27,795362
5684,765625	-27,828457
5727,832031	-27,861292
5770,898438	-27,893820
5813,964844	-27,925987
5857,031250	-27,957771
5900,097656	-27,989243
5943,164063	-28,020613
5986,230469	-28,052170
6029,296875	-28,084093
6072,363281	-28,116144
6115,429688	-28,147543
6158,496094	-28,177301
6201,562500	-28,205183
6244,628906	-28,232611
6287,695313	-28,262281
6330,761719	-28,295799
6373,828125	-28,330828
6416,894531	-28,361429
6459,960938	-28,383825
6503,027344	-28,403145
6546,093750	-28,431198
6589,160156	-28,472548
