Frecuencia (Hz)	Nivel (dB)
43,066406	-14,102654
86,132813	-20,248922
129,199219	-22,313202
172,265625	-23,713150
215,332031	-24,709948
258,398438	-25,371977
301,464844	-25,999926
344,531250	-26,766806
387,597656	-27,214237
430,664063	-27,779844
473,730469	-28,150608
516,796875	-28,840904
559,863281	-29,328123
602,929688	-29,336107
645,996094	-29,597588
689,062500	-30,170223
732,128906	-30,478350
775,195313	-30,704281
818,261719	-30,830912
861,328125	-30,915897
904,394531	-31,161713
947,460938	-31,372585
990,527344	-31,702917
1033,593750	-31,800430
1076,660156	-32,099808
1119,726563	-32,348629
1162,792969	-32,545254
1205,859375	-32,405800
1248,925781	-32,484608
1291,992188	-33,079048
1335,058594	-33,107723
1378,125000	-32,992306
1421,191406	-33,362244
1464,257813	-33,742058
1507,324219	-33,751472
1550,390625	-34,033504
1593,457031	-34,175613
1636,523438	-34,072765
1679,589844	-34,115242
1722,656250	-34,135170
1765,722656	-34,082279
1808,789063	-34,586639
1851,855469	-34,808662
1894,921875	-34,986855
1937,988281	-35,086578
1981,054688	-34,971912
2024,121094	-34,980560
2067,187500	-35,163765
2110,253906	-35,513939
2153,320313	-35,965027
2196,386719	-35,858326
2239,453125	-35,740921
2282,519531	-35,902298
2325,585938	-35,729431
2368,652344	-35,940140
2411,718750	-36,050941
2454,785156	-36,094151
2497,851563	-36,099308
2540,917969	-36,297009
2583,984375	-36,415867
2627,050781	-36,424980
2670,117188	-36,567570
2713,183594	-36,784298
2756,250000	-36,943565
2799,316406	-37,052547
2842,382813	-36,860386
2885,449219	-37,121613
2928,515625	-37,413242
2971,582031	-37,124035
3014,648438	-37,109230
3057,714844	-37,129383
3100,781250	-37,476517
3143,847656	-37,607460
3186,914063	-37,627296
3229,980469	-37,710342
3273,046875	-37,522717
3316,113281	-37,675373
3359,179688	-38,030045
3402,246094	-37,974453
3445,312500	-37,767689
3488,378906	-37,743942
3531,445313	-37,853893
3574,511719	-38,034184
3617,578125	-38,213024
3660,644531	-38,056305
3703,710938	-38,308456
3746,777344	-38,522202
3789,843750	-38,652199
3832,910156	-38,645981
3875,976563	-38,445171
3919,042969	-38,361893
3962,109375	-38,809238
4005,175781	-38,932690
4048,242188	-38,697071
4091,308594	-38,789207
4134,375000	-38,908905
4177,441406	-38,804565
4220,507813	-39,080471
4263,574219	-39,295036
4306,640625	-39,193310
4349,707031	-39,067970
4392,773438	-39,131226
4435,839844	-39,274563
4478,906250	-39,340569
